path	pred
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/247.wav	người viết
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/248.wav	nhưng tên thiệt của anh
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/249.wav	anh tên là hải an
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/251.wav	em rất là tò mò về
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/252.wav	mà cái bước ngoặt vĩ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/253.wav	cuộc đời
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/254.wav	cái này là em lại nhắc lại nỗi đau của anh người ta thì thường thường có những cái bước ngoặt nó nó vĩ đại hay đó là một khi đó rất là gọi là rực rỡ bước ngoặt của anh thì nó lại không có rực rỡ như vậy là bởi vì hồi đó là anh có một cái bước ngoặt mà nó
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/255.wav	đó là anh rớt đại học
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/256.wav	ờ khi mà hồi đó anh rớt đại học thì em cứ hình dung là khi mà mình lớn lên trong một cái vùng quê anh ở phố núi lao ở trên lâm đồng
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/257.wav	thì khi mà một cái các cái xóm nhỏ như vậy khi mà em rớt đại học đó là một cái điều đó nó khủng khiếp lắm
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/258.wav	bà con làng xóm họ hàng ai cũng quan tâm ai cũng hỏi đủ thứ hết
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/259.wav	và cái điều đó nó làm cho mình mình mình
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/260.wav	khủng hoảng á
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/261.wav	và anh anh không có giống như không có mặt mũi nào anh ở đó nữa chứ anh mới rời lao để anh đi về nha trang để nhờ nhà một người chú của anh ở đó không gặp ai
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/262.wav	những cái ngày đó thì mình cứ lang thang mình mình mình
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/263.wav	mình không muốn gặp ai cả thì nó có gì để vui đâu
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/264.wav	nhưng mà không ngờ những cái ngày lang thang như vậy á
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/265.wav	mình
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/266.wav	những con người làm
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/267.wav	mình thấy những cái điều mới mẻ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/268.wav	tự nhưng mình thấy có những cái vùng đất nó khác ở vùng đất mình sao
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/269.wav	thì trong một tháng mà anh ở nhà chú anh ở đó nó lại đem đến cho anh một cái đam mê mới đó là khám
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/270.wav	và nó anh nghĩ là một bước ngoặt vĩ đại của anh và tất nhiên là sau này anh cũng quay lại anh cũng thi lại và anh cũng đi học lại
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/271.wav	nhưng mà chính các bước ngoặt đó cho anh hiểu rằng là
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/272.wav	anh phải đi bằng hai chân
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/273.wav	một chân là trường học
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/274.wav	và một chân là trường đời
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/277.wav	anh cũng may một cái nữa luôn á là từ hồi anh đi học đó là anh đã biết rất rõ là anh cực kỳ đam mê về công nghệ thông tin luôn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/279.wav	học công nghệ thông tin luôn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/280.wav	và tới giờ thì anh không có làm gì được công nghệ thông tin nhưng chính vì những cái kiến thức của công nghệ thông tin mà anh học như vậy á ngày hôm nay nó giúp cho anh những cái công việc như trong trong nhiếp ảnh của anh này kia
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/281.wav	với lại m
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/282.wav	kỹ thuật số nè anh tiếp xúc với lại những cái công nghệ nè nó giúp cho anh cái
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/283.wav	phát triển nó mạnh hơn rất rất rất là nhiều
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/284.wav	em thấy là mọi sự
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/285.wav	đều có cái nguyên do của nó
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/286.wav	và nó sẽ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/287.wav	nó sẽ giúp mình tìm ra được cái đam mê xê dịch của mình đúng không anh
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/288.wav	khi mà trở thành một
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/289.wav	thì anh nghĩ nó có mang lại
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/290.wav	trời ơi trở thành phóng viên đó là một giống như nó cho anh thay đổi một cái thế giới quan khủng khiếp cực kỳ thay đổi cho anh quá nhiều những cái cơ hội
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/291.wav	mình được gặp rất nhiều những con người
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/292.wav	trong mọi tầng lớp của xã hội
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/293.wav	được làm việc trong rất nhiều môi trường và được trải nghiệm và rất là nhiều những sự kiện
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/294.wav	không bao giờ anh nghĩ là một cái thằng nhỏ ở một cái phố núi lao
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/295.wav	có một ngày anh đứng ở đây và ô ba ma đứng đó
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/296.wav	một ngày anh gặp được tổng thống pu tin một ngày anh gặp được rất nhiều những nguyên thủ ở trên thế giới
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/298.wav	lễ tang của đức giáo hoàng ờ gặp rất là nhiều những người nổi tiếng khác
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/299.wav	và anh cũng chạm vào được một cái giấc mơ tác nghiệp của anh đó là được đi tác nghiệp tại quơn cúp
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/300.wav	hai không hai mươi hai rất nhiều siêu sao rô nan đô mét si rồi à em ba bê ni ma
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/301.wav	đó là một cái trải nghiệm khủng khiếp và nếu không là phóng viên ảnh là không có cơ hội rồi đó
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/302.wav	tự nhiên em cũng háo hức rất là háo hức luôn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/303.wav	rất là nhiều chuyến đi
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/304.wav	ờ anh thì tới đây á là cũng có cái may mắn là đi khắp việt nam mình nè
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/305.wav	xong rồi đi cũng ra nước ngoài nữa nhưng bây giờ kêu chọn một chuyến á thì nó hơi khó cho anh cần hai chuyến đi một chuyến trong nước và một chuyến ở nước ngoài
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/306.wav	rồi nếu mà trong nước thì cái chuyến đi mà anh thấy tự hào nhất yêu thích nhất lại là không phải một chuyến đi cụ thể
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/307.wav	mà là những chuyến đi đến các cái cột mốc biên giới của việt nam
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/308.wav	à em có hình dung là việt nam mình có đường biên giới với lại lào nè
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/309.wav	cam pu chia nè và trung quốc
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/310.wav	và anh rất thích cái cảm giác mà mình đi ra những cột mốc biên giới mình chạm vào những cái cột mốc ở đó
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/311.wav	và cái lúc đó mình cảm thấy một cái sự thiêng liêng trong con người mình ôi đây biên cương lãnh thổ ở đây mình đứng đây bên kia là ở nước khác đây
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/312.wav	thì ví dụ như là anh từng đứng ở nơi các mốc con sông đà chảy vào đất việt
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/313.wav	nơi con sông hồng chảy vào đất việt
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/314.wav	hay là cột mốc bảy mươi chín cao nhất đông dương cao nhất việt nam
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/315.wav	cột mốc bốn mươi hai bu si lung là cao thứ hai của đông dương
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/316.wav	và những cái hành trình mà mình đi với các anh bộ đội như vậy á ăn rừng ở trong trong trong rừng sâu núi thẳm như vậy mà trải nghiệm rất là nhiều thứ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/317.wav	còn nếu như chọn một chuyến đi nước ngoài á thì anh nghĩ là anh thích cái chuyến đi tới đất nước pa kít tan
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/318.wav	tại hồi đó khi mà anh quyết định anh đi pa kít tan á
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/319.wav	tất cả mọi người đều nói rằng là đừng có đi ở đó chỉ có ta li ban chỉ có phiến quân chỉ có chiến tranh chỉ có những cái gì đó mà làm cho nó rất nguy hiểm
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/320.wav	anh nói rằng là
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/321.wav	cái sự sắp đặt
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/322.wav	anh không có thích rằng là tôi phải hiểu thế giới bằng cách ai đó dạy cho tôi anh muốn anh hiểu thế giới bằng cái góc nhìn của anh bằng cách trải nghiệm của anh
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/323.wav	và đó là anh quyết định anh đi cái chuyến đi đó là chuyến đi dài nhất từ trước tới giờ trong tất cả những chuyến đi anh đi hai mươi bốn ngày
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/324.wav	hai mươi bốn ngày anh đi lang thang tất cả mọi ngóc ngách để rồi mình cuối cùng mình tìm được một câu trả lời
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/325.wav	đó là tất cả những gì mình nghĩ về đất nước này đều sai hết
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/326.wav	một pa kít tan rất là thân thiệt một pa kít tăng rất văn minh
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/327.wav	một pa kít tan rất là hùng vĩ luôn và chính chuyến đi đó nó thay đổi rất nhiều về nhân sinh quan của anh
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/328.wav	để anh hiểu rằng là chúng ta đừng bao giờ áp đặt một cái tư duy một cái hiểu biết của mình
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/329.wav	bất cứ một cái điều gì hết bởi vì nó có thể sai lầm
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/330.wav	và những gì chúng ta học được chỉ là một phần trong
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/331.wav	cái cách đánh giá của những người nào đó hay là những cái cách
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/332.wav	của cái kiến thức của người khác sắp xếp thôi mình cần phải kết hợp để mà mình lấy kiến thức của mình vô nữa
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/333.wav	chắc chắn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/335.wav	anh lại có một cái may mắn rằng là
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/336.wav	anh được làm song song
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/337.wav	mặt anh vẫn làm là à
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/339.wav	và anh nghĩ rằng hai cái đó đó
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/340.wav	hợp vô với nhau
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/341.wav	nó giúp cho anh rất rất
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/342.wav	nhiều luôn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/343.wav	ờ những cái chuyến đi thì nó giúp cho mình thêm trải nghiệm
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/344.wav	để những bài báo của mình
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/345.wav	sinh động hơn rồi những bức ảnh của mình có nhiều thông tin hơn anh
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/347.wav	nhưng mà anh lại chọn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/348.wav	về mặt
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/349.wav	nghĩa là như thế này
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/350.wav	ổn định tức là có người nghĩ rằng là
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/351.wav	định là ngồi một
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/352.wav	lương cố định
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/353.wav	theo anh thì anh nghĩ cái sự ổn định
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/354.wav	em luôn duy trì được
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/355.wav	trải nghiệm của em nó
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/356.wav	đều đặn như vậy
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/357.wav	phát triển lên
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/358.wav	những cái chuyến đi của anh
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/359.wav	cứ lớn dần lớn dần
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/360.wav	ôi đó là một sự ổn định
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/361.wav	nhưng mà em nói là cái
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/362.wav	kinh tế
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/363.wav	nó cũng là một vấn đề á
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/364.wav	vì nhiều người nghĩ rằng là
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/365.wav	việc không cố định mà nó hơi lông bông một chút
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/366.wav	thì lấy đâu ra cái
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/367.wav	ổn định về mặt kinh tế
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/368.wav	em cũng chê anh hơi già đó anh ô kê thì chính vì mình hơi già xíu nên anh cũng có những
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/369.wav	thì bây giờ một mặt anh
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/370.wav	vẫn đi khám phá
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/371.wav	một mặt khác anh vẫn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/372.wav	mặt khác nữa hé lộ chút xíu
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/373.wav	anh có một cái công ty nho nhỏ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/375.wav	thêm một chút xíu nữa chút xíu nữa
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/376.wav	năm sau anh anh đã có kế hoạch từ bây giờ cho đến năm năm sau
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/377.wav	homestay nho nhỏ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/378.wav	ở phố núi lao
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/379.wav	để rồi trên một cái đỉnh đồ có những cái biển mây ở bên
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/380.wav	cảm giác mình gặp gỡ những con người xa lạ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/381.wav	giao lưu với
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/382.wav	một ngày nào đó anh anh không có sức đi nữa anh chống gậy đi nhưng mà những người bạn họ sẽ tới
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/383.wav	chuyện với họ và mình vẫn được mở mang đầu óc của mình
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/384.wav	đó là điều mà
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/385.wav	năm năm tới luôn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/386.wav	chắc chắn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/387.wav	ra á nha
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/388.wav	chưa bao giờ mà anh có cái định hướng anh trở thành một trong travel blogger hết
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/389.wav	em cứ hình dung rằng là đó như nãy em chê anh già đó
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/390.wav	thì cái thời điểm của anh là nó không có khái niệm về mạng xã hội như bây giờ đâu nó không có thông tin
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/391.wav	hồi xưa anh còn xảy ra da hu mà
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/392.wav	tức là anh chỉ làm điều đó bằng đam mê
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/393.wav	những bức ảnh bằng đam mê sau đó mới đi chia sẻ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/394.wav	rồi tự nhiên cái
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/395.wav	mày nhảy vô thích comment mấy cái rồi
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/396.wav	mấy anh chị báo chí nhảy kêu cộng
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/397.wav	lúc đó là từ cái đam mê
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/399.wav	đến khi mà nói đến thì mình cố gắng mình hoàn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/405.wav	cái bài chia sẻ của mình làm sao
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/406.wav	gọn nhiều thông tin hơn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/407.wav	cái dần dần nó mới dẫn tới thành một travel blog
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/408.wav	đó thì các cái cơ duyên nó dẫn dắt là như vậy
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/409.wav	chưa bao giờ anh định hướng rằng travel blog là một cái nghề để mà anh hướng tới mà anh trở thành
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/410.wav	nó là một cơ duyên mà tới bây giờ anh cũng không có nghĩ đó là một cái nghề
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/411.wav	anh sẽ giải thích như thế này theo quan điểm của anh nha
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/412.wav	ví dụ giống như em là một bác
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/413.wav	thì bây giờ anh có ghét em đi nữa
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/414.wav	em vẫn có thể làm bác sĩ chữa bệnh cho mọi người
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/417.wav	anh có chụp hình đẹp như thế nào viết có hay như thế nào
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/418.wav	mà anh không có được sự quan tâm của người
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/419.wav	sự yêu mến của người khác
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/420.wav	có thể lan tỏa được
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/421.wav	không có ai thì mình tìm
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/422.wav	rằng là mình cần có sự
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/423.wav	mình không làm chủ được cái nghề á là cái gì
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/424.wav	quan điểm của anh
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/425.wav	anh vẫn không dám nghĩ là một cái nghề chỉ nghĩ là một cơ duyên hơn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/428.wav	nó có làm anh mệt mỏi
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/429.wav	nhưng chưa bao giờ là mệt mỏi
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/430.wav	tức là vầy nè mình đi giống như là một cái hành trình mà đi khám phá đi
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/431.wav	như cái được đi trường sa lênh đênh trên biển hai ngày đêm liên tục thì mới tới các đảo gần
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/432.wav	rồi kéo dài hết đảo này qua đảo khác
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/433.wav	những chuyến đi biên giới
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/434.wav	ba bốn ngày trong rừng ăn trong rừng ngủ trong rừng rồi dựng lều trong rừng
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/435.wav	mình nói mệt đuối rất là nhiều
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/436.wav	và cái sự
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/437.wav	tinh thần nó lên rất là cao
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/439.wav	cái này nói thiệt chứ không phải là hôm nay lên ngồi khóc rồi mới nói gì đâu nhe
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/440.wav	công việc chính của anh đó là
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/441.wav	chia sẻ những cái hiểu biết về những cái
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/442.wav	nên dù anh là một travel blog hay là một phóng
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/443.wav	công việc chính của anh là
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/837.wav	mấy hôm nay sài gòn mưa rất là nhiều luôn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/838.wav	sanh lại nghe thông tin bão ở trên phía bắc hy vọng rằng mọi thứ sẽ ăn nhớ là mỗi lần mà mình ở quê xong rồi bão về là đôi lúc mẹ phải chuẩn bị đồ ăn cho mấy ngày liên tục luôn tại vì mỗi lần mưa bão về thì
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/839.wav	rất là dễ mưa ngập nhiều ngày nghĩ đến những ngày bão thì sanh cảm thấy vô cùng ám ảnh bây giờ thì vào sài gòn sống rồi nhưng mà mấy hôm trời sài gòn nó chẳng khác gì bão luôn các bạn khu mà sanh sống mấy hôm nay gió to cực kỳ luôn cảm giác như các bạn đi bộ ở dưới đường các bạn có thể bị thổi đi luôn í thời tiết ẩm ương như vậy
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/840.wav	à dẫu sao thì kệ đi thích nhất vẫn là ở nhà
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/841.wav	thì mong cho những cái trận bão năm nay
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/842.wav	ở đất nước mình nó sẽ không quá là
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/843.wav	lớn và không quá là gây ảnh hưởng đến cuộc sống của người dân
